record_id,category,area,candidate,official_source,requested_scope,confirmation_required,status,confirmed_contact,confirmation_date,valid_until,evidence_ref,backup_required,risk_if_missing
GUIDE-001,Local guide and route verifier,Quito/Pifo,"Ecuador-based licensed/insured enduro guide; Ecuador Freedom Bike Rental is a candidate","https://freedombikerental.com/","Inspect exact GPX; verify public/private/protected access; lead/sweep/support coordination; emergency and bailout plan","Named guide; license/insurance; exact dates; vehicle/bike support; route verification authority; cancellation; emergency capability",UNCONFIRMED,,,,,YES,"No operational route authorization"
RENTAL-001,Motorcycle rental,Quito,"Ecuador Freedom Bike Rental or independently qualified fleet provider","https://freedombikerental.com/","10-16 suitable enduro motorcycles plus spares, tools, mechanic, recovery, insurance and replacement terms","Exact models/VINs; tires/mousses; insurance; deposit; damage/exclusions; off-road permissions; roadside/recovery; pricing; availability",UNCONFIRMED,,,,,YES,"Fleet, insurance and recovery gap"
HOTEL-001,Hotel,Pifo/Quito airport area,"Hacienda Jimenita or alternate secure bike-friendly lodge","VERIFY_CURRENT_OFFICIAL_CONTACT","Arrival/acclimatization night; secure motorcycle/camera storage; early breakfast; support-vehicle access","Dates; room count; price/tax; cancellation; secure storage; parking; meals; power/internet; filming permission",UNCONFIRMED,,,,,YES,"Arrival and equipment-security gap"
HOTEL-002,Hotel,Papallacta,"Termas de Papallacta or alternate lodge","https://www.termaspapallacta.com/","Recovery overnight; secure equipment; late arrival/early departure; group meals","Dates; room count; current group quote; cancellation; secure parking/storage; filming; medical/transport support",UNCONFIRMED,,,,,YES,"High-altitude recovery/logistics gap"
HOTEL-003,Hotel,Baños,"Samari Spa Resort or alternate bike-friendly property","VERIFY_CURRENT_OFFICIAL_CONTACT","Two-night technical-stage base; workshop/storage area; meals; recovery; support parking","Dates; rooms; group quote; cancellation; secure bikes/cameras; mechanic space; filming; laundry/drying; medical transport",UNCONFIRMED,,,,,YES,"Technical-stage base gap"
HOTEL-004,Hotel,Chugchilán/Quilotoa,"Black Sheep Inn or alternate locally approved lodge","https://blacksheepinn.com/","Highland overnight; meals/hydration; secure parking; route/community coordination","Dates; rooms; current quote; access/road conditions; secure parking; group meals; cancellation; filming/community rules",UNCONFIRMED,,,,,YES,"Remote highland lodging gap"
HOTEL-005,Hotel,Machachi/Cotopaxi,"Hacienda El Rejo or alternate secure lodge","VERIFY_CURRENT_OFFICIAL_CONTACT","Final Andean regroup; secure bikes/cameras; early route/weather decision","Dates; rooms; quote; cancellation; secure parking/storage; meal times; access and transport",UNCONFIRMED,,,,,YES,"Final regroup gap"
ROTARY-001,Rotary host,Quito,"Rotary District 4400 / confirmed Quito club","VERIFY_CURRENT_DISTRICT_DIRECTORY","Consent-forward service/community visit; project verification; local contact and safeguarding","Named host/club; project owner; beneficiary; date/location; requested role; filming consent; donation/data/support plan",UNCONFIRMED,,,,,YES,"Visit must be removed from itinerary and media claims"
ROTARY-002,Rotary host,Tena/Baños,"Rotary District 4400 / confirmed local club","VERIFY_CURRENT_DISTRICT_DIRECTORY","Optional Amazon/central Ecuador service visit","Named host; active project; exact location/time; participant consent; cancellation; safeguarding",UNCONFIRMED,,,,,YES,"Visit must be removed from itinerary and media claims"
ROTARY-003,Rotary host,Manta,"Rotary District 4400 / confirmed Manta club","VERIFY_CURRENT_DISTRICT_DIRECTORY","Optional Pacific service/community visit","Named host; active project; date/location; participant consent; requested expedition role",UNCONFIRMED,,,,,YES,"Visit must be removed from itinerary and media claims"
PARK-001,Protected-area authority,Cayambe-Coca area,"Responsible MAATE/SNAP administration","VERIFY_CURRENT_GOVERNMENT_CONTACT","Determine exact GPX boundary relationship; motorcycle/group/guide/commercial-filming rules","Written current access decision for exact date/people/vehicles/activity; permit or not-required record; closure contact",UNCONFIRMED,,,,,NO,"Cayambe-related operational segment remains disabled"
PARK-002,Protected-area authority,Cotopaxi,"Cotopaxi National Park / responsible MAATE/SNAP administration","VERIFY_CURRENT_GOVERNMENT_CONTACT","Verify perimeter and any proposed internal access; motorcycle and filming rules","Written current access decision; exact legal roads; permit/not-required; hours; closures; emergency contact",UNCONFIRMED,,,,,NO,"Cotopaxi segment remains perimeter-only or disabled"
CULTURE-001,Cultural-site authority,Ingapirca,"Responsible national/local cultural heritage administration","VERIFY_CURRENT_GOVERNMENT_CONTACT","Optional cultural extension and commercial filming","Opening; access; guide; conservation/filming rules; permit; fee; exact date",UNCONFIRMED,,,,,YES,"Ingapirca removed from operational itinerary/media plan"
SURF-001,Local surf/water-safety guide,Ayampe/Canoa/Montañita,"Qualified local surf guide/operator","TO_SOURCE","Surf assessment, boards, water safety, transport, local conditions, filming and emergency plan","Named guide; qualifications; exact break/date; tide/surf risk; boards; rescue/medical plan; pricing; cancellation",UNCONFIRMED,,,,,YES,"No water sequence or surf activity"
PRODUCTION-001,Spatial production provider,Quito/Ecuador,"Apple Immersive / Blackmagic URSA Cine Immersive production provider","TO_SOURCE_NO_LOCAL_RENTAL_CONFIRMED","Camera/operator, stereoscopic workflow, DIT, media, insurance, import/customs, secure transport and Apple Immersive deliverables","Named company/operator; owned/rented serial-numbered kit; insurance; customs; quote; dates; crew; data workflow; cancellation",RESEARCH_REQUIRED,,,,,YES,"Professional immersive capture removed; use approved iPhone/conventional cameras only"
PRODUCTION-002,Local fixer/film permits,Ecuador route,"Ecuador-based production fixer with municipal/protected-area permitting experience","TO_SOURCE","Location releases, public-space permits, community consent, drone/road/park coordination, crew transport","Named fixer/company; references; permit responsibility; fee; dates; cancellation; data and safeguarding process",UNCONFIRMED,,,,,YES,"No commercial-location filming beyond clearly permitted low-impact capture"
MEDICAL-001,Medical/evacuation provider,Entire route,"Licensed Ecuador medical/evacuation provider","TO_SOURCE","Preplan, on-call medical advice, ambulance/evacuation options, nearest capable facilities, insurance coordination","Named provider; service area; response limits; contact tree; pricing; payment/insurance; evacuation plan; exact dates",UNCONFIRMED,,,,,YES,"Expedition remains NO-GO"
RECOVERY-001,4x4 recovery/support,Entire route,"Insured local 4x4 support operator","TO_SOURCE","Driver, support vehicle, trailer/recovery, fuel/water/spares, baggage, regroup and bailout coverage","Vehicle/driver; insurance; route access; recovery capacity; dates; quote; cancellation; communications",UNCONFIRMED,,,,,YES,"Remote/technical stages remain NO-GO"
