category,area_or_provider,status,official_contact,confirmation_required,evidence_required,owner,due_date,notes
Road operations,National route corridors,NOT CONFIRMED,https://www.ecu911.gob.ec/consulta-de-vias/,E20 E30 E35 E45 E15 and bailout status within 24 hours of each stage,Timestamped road report plus support-lead signoff,Expedition lead,,Live conditions override the app
Protected area,Cotopaxi,NOT CONFIRMED,https://sib.ambiente.gob.ec/,Motorcycle and filming access for exact date route and crew,Written authority response plus SIB registration evidence,Expedition lead,,MAE help desk: mesadeayuda@ambiente.gob.ec
Protected area,Quilotoa and applicable conservation/local authority,NOT CONFIRMED,https://sib.ambiente.gob.ec/,Road parking filming drone and group rules,Written current response and local authority record,Expedition lead,,Do not infer from historic GPX
Motorcycle rental,Ecuador Freedom Bike Rental,NOT CONFIRMED,https://freedombikerental.com/en/contact,Models dates deposit insurance off-road exclusions mechanic sweep recovery and replacement bikes,Executed quote terms vehicle list and emergency contacts,Producer,,Official contact lists info@FreedomBikeRental.com and Quito shop
Lodging,Termas de Papallacta,NOT CONFIRMED,https://www.termaspapallacta.com/contacto/,Rooms secure bike parking early departure production permission and cancellation terms,Executed group quote and named contact,Producer,,Official reservation contact published by property
Lodging,Black Sheep Inn Chugchilan,NOT CONFIRMED,https://blacksheepinn.com/contact-us/,Rooms meals secure parking arrival route power connectivity filming and cancellation,Executed group quote and named contact,Producer,,Official email blacksheepinn@gmail.com
Lodging,Samari Spa Resort Banos,NOT CONFIRMED,https://samarispa.com/,Rooms secure parking maintenance space filming and cancellation,Executed group quote and named contact,Producer,,Reverify current official contact before outreach
Production rental,Zoom Film and Rent Quito,NOT CONFIRMED,https://zoom.ec/contacto/,Available cameras lenses audio lighting transport insurance crew and spatial-video compatibility,Itemized quote serials insurance and operator credentials,Producer,,Official page lists alquileres@zoom.com.ec
Immersive camera,URSA Cine Immersive Ecuador package,NOT FOUND,https://www.blackmagicdesign.com/products/blackmagicursacineimmersive,Local or imported camera body media support operator insurance customs and replacement plan,Executed specialist rental/import agreement,Director of photography,,Do not claim local inventory until verified
Film permitting,Ecuador Film Commission,NOT CONFIRMED,https://ecuadorfilmcommission.com/,National/local permits customs incentives drone and protected-area coordination,Written permitting plan and named commission/local contacts,Producer,,Confirm current operating contact
Rotary,Quito host,NOT CONFIRMED,https://rotary-ecuador.org/,Named club host appointment purpose consent and project status,Email confirmation agenda host phone and release plan,Community lead,,District presence is not a confirmed project
Rotary,Tena host,NOT CONFIRMED,https://rotary-ecuador.org/,Named club host appointment purpose consent and project status,Email confirmation agenda host phone and release plan,Community lead,,Do not show as active stop until confirmed
Rotary,Banos host,NOT CONFIRMED,https://rotary-ecuador.org/,Named club host appointment purpose consent and project status,Email confirmation agenda host phone and release plan,Community lead,,Do not show as active stop until confirmed
Rotary,Manta host,NOT CONFIRMED,https://rotary-ecuador.org/,Named club host appointment purpose consent and project status,Email confirmation agenda host phone and release plan,Community lead,,Do not show as active stop until confirmed
Local guide,Andes Amazon and coast route verifier,NOT CONFIRMED,,Exact GPX legal access closures weather fuel bailouts medical extraction and communications,Signed route manifest guide credentials references and insurance,Expedition lead,,One verifier may not cover every region
Medical and rescue,Expedition medical and extraction provider,NOT CONFIRMED,,Scope staff credentials evacuation hospitals insurance exclusions and communication plan,Executed response plan and drill record,Safety lead,,Required before operational route unlock
